issue_type_id,bim360_account_id,bim360_project_id,issue_type,is_active,created_by,created_at,updated_by,updated_at,deleted_by,deleted_at
7fa07596-978e-4c6e-bee5-3aaa4e2005fb,a4f95080-84fe-4281-8d0a-bd8c885695e0,ab37405e-4934-4423-af76-7a1a681d3274,Quality,t,System,2018-08-02 07:54:04.951,System,2018-11-08 05:27:55.534,,
b49f2d62-424b-43ec-8de6-2fb7a1b9f242,a4f95080-84fe-4281-8d0a-bd8c885695e0,ab37405e-4934-4423-af76-7a1a681d3274,Safety,t,System,2018-08-02 07:54:04.952,System,2018-11-08 05:27:55.534,,
9934babf-9a40-40f2-af5f-0ab76f679602,a4f95080-84fe-4281-8d0a-bd8c885695e0,ab37405e-4934-4423-af76-7a1a681d3274,Punch List,t,System,2018-08-02 07:54:04.952,System,2018-11-08 05:27:55.534,,
8a8d1dba-a178-4c8b-9fc6-cdafdce0e402,a4f95080-84fe-4281-8d0a-bd8c885695e0,ab37405e-4934-4423-af76-7a1a681d3274,Commissioning,t,System,2018-08-02 07:54:04.952,System,2018-11-08 05:27:55.534,,
794c2c03-eb29-466a-b2d6-ad4f09c40927,a4f95080-84fe-4281-8d0a-bd8c885695e0,ab37405e-4934-4423-af76-7a1a681d3274,Work List,f,System,2018-08-02 07:54:04.952,System,2018-11-08 05:27:55.534,,
f300ca67-1813-47aa-9215-2724f44b200a,a4f95080-84fe-4281-8d0a-bd8c885695e0,ab37405e-4934-4423-af76-7a1a681d3274,Observation,t,System,2018-08-02 07:54:04.952,System,2018-11-08 05:27:55.534,,
4f3497ea-0de4-4838-8c2f-ae47bb7b4bc7,a4f95080-84fe-4281-8d0a-bd8c885695e0,ab37405e-4934-4423-af76-7a1a681d3274,Warranty,f,System,2018-08-02 07:54:04.952,System,2018-11-08 05:27:55.534,,
827ab395-93ae-4385-8022-52992b399ec0,a4f95080-84fe-4281-8d0a-bd8c885695e0,61fe4298-f88b-436d-9ae8-1b761da05624,Quality,t,System,2019-09-30 03:35:30.18,System,2019-09-30 03:35:30.18,,
e062d5fb-8fff-41dd-8a46-f7a27ca64953,a4f95080-84fe-4281-8d0a-bd8c885695e0,61fe4298-f88b-436d-9ae8-1b761da05624,Design,t,System,2019-09-30 03:35:30.18,System,2019-09-30 03:35:30.205,,
1a796e5d-9dab-4219-96b9-9af30df19774,a4f95080-84fe-4281-8d0a-bd8c885695e0,61fe4298-f88b-436d-9ae8-1b761da05624,Safety,t,System,2019-09-30 03:35:30.18,System,2019-09-30 03:35:30.18,,
73ddaef3-74d0-4ffb-81fe-d868482ad4b5,a4f95080-84fe-4281-8d0a-bd8c885695e0,61fe4298-f88b-436d-9ae8-1b761da05624,Punch List,t,System,2019-09-30 03:35:30.18,System,2019-09-30 03:35:30.18,,
005d1078-baac-47aa-a45b-f87811fbeea2,a4f95080-84fe-4281-8d0a-bd8c885695e0,61fe4298-f88b-436d-9ae8-1b761da05624,Commissioning,t,System,2019-09-30 03:35:30.18,System,2019-09-30 03:35:30.18,,
